millis,roll,pitch,yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,CurrentTemp,CurrentPres,altitude,altitude_lissee,max_altitude,phase_vol,source,time_sec,alt
355458.0,2.06,0.16,1.81,-8.99,0.18,-2.51,-0.01,0.03,-0.0,16.32,101362.14,3.48,3.46,3.68,0.0,vol 6,-0.992,0.0124137931034487
355468.0,2.06,0.16,1.81,-8.99,0.17,-2.51,-0.02,0.03,-0.0,16.32,101362.14,3.48,3.47,3.68,0.0,vol 6,-0.982,0.0124137931034487
355478.0,2.06,0.16,1.81,-8.99,0.18,-2.5,-0.02,0.03,-0.0,16.32,101361.97,3.5,3.47,3.68,0.0,vol 6,-0.972,0.0324137931034487
355488.0,2.06,0.16,1.81,-8.99,0.18,-2.51,-0.02,0.03,-0.01,16.32,101361.97,3.5,3.47,3.68,0.0,vol 6,-0.962,0.0324137931034487
355498.0,2.06,0.16,1.81,-8.99,0.19,-2.5,-0.02,0.03,-0.01,16.32,101361.97,3.5,3.47,3.68,0.0,vol 6,-0.952,0.0324137931034487
355507.0,2.06,0.16,1.81,-8.99,0.19,-2.5,-0.02,0.03,-0.01,16.32,101361.97,3.5,3.48,3.68,0.0,vol 6,-0.943,0.0324137931034487
355517.0,2.06,0.16,1.81,-8.99,0.19,-2.49,-0.02,0.03,-0.01,16.32,101361.97,3.5,3.48,3.68,0.0,vol 6,-0.933,0.0324137931034487
355527.0,2.06,0.16,1.81,-8.99,0.19,-2.49,-0.02,0.04,-0.01,16.32,101361.97,3.5,3.48,3.68,0.0,vol 6,-0.923,0.0324137931034487
355537.0,2.06,0.16,1.81,-8.99,0.18,-2.51,-0.03,0.04,-0.01,16.32,101361.97,3.5,3.48,3.68,0.0,vol 6,-0.913,0.0324137931034487
355547.0,2.05,0.16,1.81,-8.98,0.16,-2.51,-0.03,0.04,-0.01,16.32,101361.81,3.51,3.48,3.68,0.0,vol 6,-0.903,0.0424137931034485
355557.0,2.05,0.16,1.81,-8.98,0.15,-2.53,-0.02,0.04,-0.01,16.32,101361.81,3.51,3.49,3.68,0.0,vol 6,-0.893,0.0424137931034485
355567.0,2.05,0.15,1.81,-8.98,0.15,-2.54,-0.01,0.04,-0.01,16.32,101361.81,3.51,3.49,3.68,0.0,vol 6,-0.883,0.0424137931034485
355577.0,2.05,0.15,1.81,-8.98,0.16,-2.55,-0.01,0.04,-0.01,16.32,101361.81,3.51,3.49,3.68,0.0,vol 6,-0.873,0.0424137931034485
355587.0,2.05,0.15,1.81,-8.98,0.16,-2.54,-0.01,0.03,-0.01,16.32,101361.81,3.51,3.49,3.68,0.0,vol 6,-0.863,0.0424137931034485
355597.0,2.06,0.15,1.81,-8.98,0.18,-2.54,-0.01,0.03,-0.0,16.32,101361.81,3.51,3.5,3.68,0.0,vol 6,-0.853,0.0424137931034485
355607.0,2.06,0.15,1.81,-8.98,0.19,-2.54,-0.02,0.03,-0.0,16.32,101361.81,3.51,3.5,3.68,0.0,vol 6,-0.843,0.0424137931034485
355617.0,2.06,0.15,1.81,-8.98,0.2,-2.54,-0.02,0.03,-0.0,16.32,101361.81,3.51,3.5,3.68,0.0,vol 6,-0.833,0.0424137931034485
355626.0,2.06,0.16,1.81,-8.99,0.19,-2.53,-0.02,0.03,-0.0,16.32,101361.81,3.51,3.5,3.68,0.0,vol 6,-0.824,0.0424137931034485
355637.0,2.06,0.16,1.81,-8.98,0.18,-2.53,-0.02,0.03,-0.0,16.32,101361.81,3.51,3.5,3.68,0.0,vol 6,-0.813,0.0424137931034485
355647.0,2.05,0.16,1.81,-8.98,0.17,-2.54,-0.02,0.03,-0.0,16.32,101361.81,3.51,3.5,3.68,0.0,vol 6,-0.803,0.0424137931034485
355657.0,2.05,0.16,1.81,-8.99,0.15,-2.54,-0.02,0.03,-0.0,16.32,101361.97,3.5,3.5,3.68,0.0,vol 6,-0.793,0.0324137931034487
355667.0,2.05,0.16,1.81,-8.99,0.15,-2.54,-0.02,0.03,-0.0,16.32,101361.97,3.5,3.5,3.68,0.0,vol 6,-0.783,0.0324137931034487
355676.0,2.05,0.16,1.81,-8.99,0.15,-2.54,-0.01,0.03,-0.0,16.32,101361.97,3.5,3.5,3.68,0.0,vol 6,-0.774,0.0324137931034487
355686.0,2.05,0.16,1.81,-8.98,0.16,-2.53,-0.01,0.03,-0.0,16.32,101361.97,3.5,3.5,3.68,0.0,vol 6,-0.764,0.0324137931034487
