# Simulation 5 (Up to date)
# 206 data points written for 54 variables.
#
Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0,-0.085,-8.486,0.085,8.519,-0,0,0,180,0.007,0.742,28.61,-80.6,9.792,180,0,0,0,212.042,42.584,0.002,0,NaN,19.106,NaN,0,2291.234,0.262,-0,0.634,-0.634,0.492,0.022,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0,0,1000,331.299,0.01,0.004
0.02,-0,-0.06,-6.023,0.06,6.046,-0,0,0,180,0.005,0.527,28.61,-80.6,9.792,180,0,0,0,212.026,42.568,0.002,0,NaN,19.105,NaN,0,1626.151,0.786,-0,0.634,-0.634,0.492,0.022,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0,0,1000,331.299,0.01,0.005
0.03,-0,-0.036,-3.559,0.036,3.573,-0,0,0,180,0.003,0.311,28.61,-80.6,9.792,180,0,0,0,212.01,42.552,0.002,0,NaN,19.104,NaN,0,960.967,1.311,-0,0.634,-0.634,0.492,0.022,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0,0,1000,331.299,0.01,0.005
0.04,-0,-0.011,-1.095,0.011,1.099,-0,0,0,180,0.001,0.096,28.61,-80.6,9.792,180,0,0,0,211.994,42.536,0.002,0,NaN,19.103,NaN,0,295.682,1.835,-0,0.634,-0.634,0.492,0.022,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0,0,1000,331.299,0.01,0.007
0.05,0,0.014,1.382,0.014,1.387,0,0,0,0,0.001,0.121,28.61,-80.6,9.792,0,0,0,0,211.972,42.514,0.002,0,NaN,19.102,NaN,0,372.817,2.362,0,0.634,0.634,0.492,0.022,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0,-0,1000,331.299,0.01,0.008
0.06,0,0.066,5.223,0.066,5.243,0,0,0,0,0.006,0.457,28.61,-80.6,9.792,0,0,0,0,211.897,42.439,0.002,0,NaN,19.098,NaN,0,1782.232,3.178,0,0.634,0.634,0.492,0.022,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0,-0,1000,331.299,0.01,0.009
0.07,0.002,0.166,10.001,0.167,10.039,0,0,0,0,0.015,0.875,28.61,-80.6,9.792,0,0,0,0,211.822,42.364,0.002,0,NaN,19.094,NaN,0.001,4481.54,4.193,0,0.634,0.634,0.492,0.022,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0,-0,1000,331.299,0.01,0.01
0.08,0.004,0.314,14.783,0.315,14.839,0,0,0,0,0.027,1.293,28.61,-80.6,9.792,0,0,0,0,211.747,42.289,0.002,0,NaN,19.09,NaN,0.001,8471.631,5.208,0,0.634,0.634,0.492,0.022,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0,-0,1000,331.299,0.01,0.011
