# Simulation 1 (Up to date)
# 263 data points written for 54 variables.
#
Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0,-0.085,-8.497,0.085,8.529,-0,0,0,180,0.007,0.743,28.61,-80.6,9.792,90.271,0,0,0,213.857,42.584,0.002,0,NaN,19.118,NaN,0.003,25710.269,0.262,0,0.659,-0,0.358,0.18,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0.929,-3,1013.25,329.481,0.01,0.002
0.02,-0,-0.061,-6.054,0.061,6.077,-0,0,0,180,0.005,0.53,28.61,-80.6,9.792,88.767,0,0,0,213.841,42.568,0.002,0,NaN,19.117,NaN,0.003,25616.657,0.786,0,0.659,0,0.359,0.18,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0.925,-3,1013.25,329.481,0.01,0.002
0.03,-0,-0.036,-3.611,0.036,3.625,-0,0,0,180,0.003,0.316,28.61,-80.6,9.792,87.252,0,0,0,213.825,42.552,0.002,0,NaN,19.116,NaN,0.003,25540.822,1.311,0,0.66,0,0.359,0.18,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0.921,-3,1013.25,329.481,0.01,0.003
0.04,-0,-0.012,-1.168,0.012,1.172,-0,0,0,180,0.001,0.102,28.61,-80.6,9.792,85.73,0,0,0,213.809,42.536,0.002,0,NaN,19.115,NaN,0.003,25482.929,1.835,0,0.66,0.001,0.359,0.18,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0.918,-3,1013.25,329.481,0.01,0.003
0.05,0,0.013,1.287,0.013,1.292,0,0,0,0,0.001,0.113,28.61,-80.6,9.792,84.195,0,0,0,213.787,42.514,0.002,0,NaN,19.114,NaN,0.003,25443.432,2.362,0,0.66,0.002,0.36,0.18,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0.914,-3,1013.25,329.481,0.01,0.004
0.06,0,0.064,5.096,0.064,5.115,0,0,0,0,0.006,0.446,28.61,-80.6,9.792,81.023,0,0,0,213.712,42.439,0.002,0,NaN,19.11,NaN,0.003,25568.429,3.178,0,0.66,0.006,0.359,0.18,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0.912,-3,1013.25,329.481,0.01,0.004
0.07,0.002,0.162,9.834,0.163,9.871,0,0,0,0,0.014,0.86,28.61,-80.6,9.792,75.052,0,0,0,213.637,42.364,0.002,0,NaN,19.106,NaN,0.003,26080.139,4.193,0,0.657,0.025,0.357,0.18,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0.91,-3,1013.25,329.481,0.01,0.005
0.08,0.004,0.308,14.574,0.309,14.63,0,0,0,0,0.027,1.275,28.61,-80.6,9.792,66.776,0,0,0,213.563,42.289,0.002,0,NaN,19.102,NaN,0.003,27356.623,5.208,0,0.652,0.083,0.352,0.18,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,85,0,0.908,-3,1013.25,329.481,0.01,0.005
